id,year,team1,team2,match_result,match_winner,toss_winner,action
286,2014,Sunrisers Hyderabad,Royal Challengers Bangalore,Normal,Sunrisers Hyderabad,Royal Challengers Bangalore,bat
287,2014,Kolkata Knight Riders,Chennai Super Kings,Normal,Kolkata Knight Riders,Kolkata Knight Riders,field
288,2014,Kings XI Punjab,Mumbai Indians,Normal,Mumbai Indians,Mumbai Indians,field
289,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Normal,Kolkata Knight Riders,Royal Challengers Bangalore,field
290,2014,Chennai Super Kings,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,field
291,2014,Mumbai Indians,Delhi Capitals,Normal,Mumbai Indians,Delhi Daredevils,field
292,2014,Kings XI Punjab,Rajasthan Royals,Normal,Kings XI Punjab,Rajasthan Royals,field
293,2014,Royal Challengers Bangalore,Chennai Super Kings,Normal,Chennai Super Kings,Chennai Super Kings,field
294,2014,Kolkata Knight Riders,Sunrisers Hyderabad,Normal,Kolkata Knight Riders,Kolkata Knight Riders,field
295,2014,Kings XI Punjab,Delhi Capitals,Normal,Kings XI Punjab,Kings XI Punjab,field
296,2014,Mumbai Indians,Rajasthan Royals,Normal,Mumbai Indians,Mumbai Indians,field
297,2014,Kings XI Punjab,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Kings XI Punjab,field
298,2014,Chennai Super Kings,Mumbai Indians,Normal,Chennai Super Kings,Chennai Super Kings,field
299,2014,Kings XI Punjab,Chennai Super Kings,Normal,Kings XI Punjab,Chennai Super Kings,field
300,2014,Kings XI Punjab,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Kolkata Knight Riders,field
301,2012,Chennai Super Kings,Mumbai Indians,Normal,Mumbai Indians,Mumbai Indians,field
302,2012,Kolkata Knight Riders,Delhi Capitals,Normal,Delhi Capitals,Delhi Daredevils,field
303,2012,Mumbai Indians,Pune Warriors India,Normal,Pune Warriors India,Mumbai Indians,field
304,2012,Rajasthan Royals,Kings XI Punjab,Normal,Rajasthan Royals,Kings XI,field
305,2012,Royal Challengers Bangalore,Delhi Capitals,Normal,Royal Challengers Bangalore,Delhi Daredevils,field
306,2012,Deccan Chargers,Chennai Super Kings,Normal,Chennai Super Kings,Deccan Chargers,field
307,2012,Rajasthan Royals,Kolkata Knight Riders,Normal,Rajasthan Royals,Kolkata Knight Riders,field
308,2012,Pune Warriors India,Kings XI Punjab,Normal,Pune Warriors India,Pune Warriors India,bat
309,2012,Deccan Chargers,Mumbai Indians,Normal,Mumbai Indians,Deccan Chargers,bat
310,2012,Royal Challengers Bangalore,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Royal Challengers Bangalore,field
311,2012,Delhi Capitals,Chennai Super Kings,Normal,Delhi Capitals,Delhi Daredevils,field
312,2012,Mumbai Indians,Rajasthan Royals,Normal,Mumbai Indians,Rajasthan Royals,field
313,2012,Chennai Super Kings,Royal Challengers Bangalore,Normal,Chennai Super Kings,Royal Challengers Bangalore,bat
314,2012,Kings XI Punjab,Pune Warriors India,Normal,Kings XI Punjab,Kings XI Punjab,field
315,2012,Kolkata Knight Riders,Rajasthan Royals,Normal,Kolkata Knight Riders,Rajasthan Royals,bat
316,2012,Pune Warriors India,Chennai Super Kings,Normal,Pune Warriors India,Chennai Super Kings,bat
317,2012,Kolkata Knight Riders,Kings XI Punjab,Normal,Kings XI Punjab,Kolkata Knight Riders,field
318,2012,Royal Challengers Bangalore,Rajasthan Royals,Normal,Rajasthan Royals,Rajasthan Royals,bat
319,2012,Mumbai Indians,Delhi Capitals,Normal,Delhi Capitals,Delhi Daredevils,field
320,2012,Rajasthan Royals,Deccan Chargers,Normal,Rajasthan Royals,Deccan Chargers,bat
321,2012,Royal Challengers Bangalore,Pune Warriors India,Normal,Royal Challengers Bangalore,Pune Warriors India,bat
322,2012,Kings XI Punjab,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Kings XI Punjab,bat
323,2012,Delhi Capitals,Deccan Chargers,Normal,Delhi Capitals,Deccan Chargers,bat
324,2012,Chennai Super Kings,Pune Warriors India,Normal,Chennai Super Kings,Pune Warriors India,field
325,2012,Kings XI Punjab,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
326,2012,Chennai Super Kings,Rajasthan Royals,Normal,Chennai Super Kings,Rajasthan Royals,bat
327,2012,Delhi Capitals,Pune Warriors India,Normal,Pune Warriors India,Delhi Daredevils,field
328,2012,Mumbai Indians,Kings XI Punjab,Normal,Kings XI Punjab,Mumbai Indians,bat
329,2012,Deccan Chargers,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Kolkata Knight Riders,field
330,2012,Rajasthan Royals,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Rajasthan Royals,field
331,2012,Pune Warriors India,Delhi Capitals,Normal,Delhi Capitals,Pune Warriors,bat
332,2012,Kolkata Knight Riders,Deccan Chargers,NaN,NaN,NaN,NaN
333,2012,Kings XI Punjab,Mumbai Indians,Normal,Mumbai Indians,Kings XI Punjab,bat
334,2012,Royal Challengers Bangalore,Chennai Super Kings,NaN,NaN,Royal Challengers Bangalore,field
335,2012,Pune Warriors India,Deccan Chargers,Normal,Deccan Chargers,Deccan Chargers,bat
336,2012,Delhi Capitals,Mumbai Indians,Normal,Delhi Capitals,Mumbai Indians,field
337,2012,Chennai Super Kings,Kings XI Punjab,Normal,Kings XI Punjab,Kings XI Punjab,bat
338,2012,Kolkata Knight Riders,Royal Challengers Bangalore,Normal,Kolkata Knight Riders,Kolkata Knight Riders,bat
339,2012,Delhi Capitals,Rajasthan Royals,Normal,Delhi Capitals,Delhi Daredevils,bat
340,2012,Mumbai Indians,Deccan Chargers,Normal,Mumbai Indians,Mumbai Indians,field
341,2012,Chennai Super Kings,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Chennai Super Kings,bat
342,2012,Deccan Chargers,Pune Warriors India,Normal,Deccan Chargers,Deccan Chargers,bat
343,2012,Rajasthan Royals,Delhi Capitals,Normal,Delhi Capitals,Rajasthan Royals,bat
344,2012,Royal Challengers Bangalore,Kings XI Punjab,Normal,Kings XI Punjab,Kings XI Punjab,field
345,2012,Pune Warriors India,Mumbai Indians,Normal,Mumbai Indians,Mumbai Indians,bat
346,2012,Chennai Super Kings,Deccan Chargers,Normal,Chennai Super Kings,Chennai Super Kings,bat
347,2012,Kolkata Knight Riders,Pune Warriors India,Normal,Kolkata Knight Riders,Kolkata Knight Riders,bat
348,2012,Kings XI Punjab,Rajasthan Royals,Normal,Rajasthan Royals,Rajastan Royals,bat
349,2012,Mumbai Indians,Chennai Super Kings,Normal,Mumbai Indians,Mumbai Indians,field
350,2012,Royal Challengers Bangalore,Deccan Chargers,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
351,2012,Delhi Capitals,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Delhi Daredevils,bat
352,2012,Pune Warriors India,Rajasthan Royals,Normal,Rajasthan Royals,Pune Warriors India,bat
